,도서명,저자,출판사,ISBN,주제분류번호,등록일자,이미지주소
3543,인공지능보안 =Beyond human's realm :인간의 영역을 넘어서 ,김주원 지음,인포더북스,9788994567891,004.61,2021-06-21,http://image.kyobobook.co.kr/images/book/large/891/l9788994567891.jpg
3544,(맛있는 디자인) 어도비 XD CC :웹디자이너를 위한 UX/UI 디자인 기초 :기본편+활용편 ,임선주 지음,한빛미디어,9791162243756,004.78,2021-06-21,http://image.kyobobook.co.kr/images/book/large/756/l9791162243756.jpg
3545,"차세대 빅데이터 플랫폼 Data Lake :구축, 활성화 및 거버넌스 전략 ",윤선웅 지음,좋은땅,9791166496233,005.76,2021-06-21,http://image.kyobobook.co.kr/images/book/large/233/l9791166496233.jpg
3546,(만들면서 배우는) 코틀린＆안드로이드 프로그래밍 :기초 문법부터 다섯 가지 실전 프로젝트 예제를 꼼꼼하게 설명하는 ,유병석 지음,위키북스,9791158392529,005.133,2021-06-21,http://image.kyobobook.co.kr/images/book/large/529/l9791158392529.jpg
3547,모두의 마이크로비트 =Micro:bit for everyone :누구나 쉽게 배우는 전자 회로 공작과 IoT 프로그래밍 ,"지은이: 아이씨뱅큐,에스엔소프트 ;필진: 김용재,석기환,심은주,권은정,권지선,최선희,홍성현",길벗,9791165215422,005.1,2021-06-21,http://image.kyobobook.co.kr/images/book/large/422/l9791165215422.jpg
3548,Something in USB :개발자를 위한 USB 버스 완벽가이드 ,이봉석 지음,에이콘(에이콘출판주식회사),9791161755175,004.2246,2021-06-21,http://image.kyobobook.co.kr/images/book/large/175/l9791161755175.jpg
3549,(일 잘하는 직장인) 실무 엑셀 테크닉 ,지은이: 김민철,혜지원,9788983797353,005.53,2021-06-21,http://image.kyobobook.co.kr/images/book/large/353/l9788983797353.jpg
3550,프리미어 프로 ＆ 영상 편집 패턴 300 ,모온 컴퍼니 지음,BM성안당,9788931557367,005.567,2021-06-21,http://image.kyobobook.co.kr/images/book/large/367/l9788931557367.jpg
3551,파이썬 코딩 0교시 :대세는 국영수코! 교과서보다 먼저 만나는 첫 코딩 ,줄리 스웨이 지음 ;임성국 옮김,프리렉,9788965402923,005.1,2021-06-18,http://image.kyobobook.co.kr/images/book/large/923/l9788965402923.jpg
3552,사이언스 코딩 :우주 과학을 코딩으로 파헤친다 ,"이영준,최정원 지음",교학사(컴퓨터),9788909545945,005.1,2021-06-18,http://image.kyobobook.co.kr/images/book/large/945/l9788909545945.jpg
3553,컴퓨터와 친해지기 :윈도우10 & 인터넷 ,[마린북스] 교재개발팀 지음,마린북스,9791197413902,005.44,2021-06-18,http://image.kyobobook.co.kr/images/book/large/902/l9791197413902.jpg
3554,(더 괜찮은 개발자가 되기 위한) AI 품질 관리 가이드 ,"박영근,최애숙,김문호 지음",프리렉,9788965402954,004.73,2021-06-11,http://image.kyobobook.co.kr/images/book/large/954/l9788965402954.jpg
